countrycode,countryname,year,lngdp14,lndn13,fiw,fiw2,Dfree_avg9213,Dpfree_avg9213,Dnfree_avg9213,lndn13_fiw,_Icountryco_2,_Icountryco_3,_Icountryco_4,_Icountryco_5,_Icountryco_6,_Icountryco_7,_Icountryco_8,_Icountryco_9,_Icountryco_10,_Icountryco_11,_Icountryco_12,_Icountryco_13,_Icountryco_14,_Icountryco_15,_Icountryco_16,_Icountryco_17,_Icountryco_18,_Icountryco_19,_Icountryco_20,_Icountryco_21,_Icountryco_22,_Icountryco_23,_Icountryco_24,_Icountryco_25,_Icountryco_26,_Icountryco_27,_Icountryco_28,_Icountryco_29,_Icountryco_30,_Icountryco_31,_Icountryco_32,_Icountryco_33,_Icountryco_34,_Icountryco_35,_Icountryco_36,_Icountryco_37,_Icountryco_38,_Icountryco_39,_Icountryco_40,_Icountryco_41,_Icountryco_42,_Icountryco_43,_Icountryco_44,_Icountryco_45,_Icountryco_46,_Icountryco_47,_Icountryco_48,_Icountryco_49,_Icountryco_50,_Icountryco_51,_Icountryco_52,_Icountryco_53,_Icountryco_54,_Icountryco_55,_Icountryco_56,_Icountryco_57,_Icountryco_58,_Icountryco_59,_Icountryco_60,_Icountryco_61,_Icountryco_62,_Icountryco_63,_Icountryco_64,_Icountryco_65,_Icountryco_66,_Icountryco_67,_Icountryco_68,_Icountryco_69,_Icountryco_70,_Icountryco_71,_Icountryco_72,_Icountryco_73,_Icountryco_74,_Icountryco_75,_Icountryco_76,_Icountryco_77,_Icountryco_78,_Icountryco_79,_Icountryco_80,_Icountryco_81,_Icountryco_82,_Icountryco_83,_Icountryco_84,_Icountryco_85,_Icountryco_86,_Icountryco_87,_Icountryco_88,_Icountryco_89,_Icountryco_90,_Icountryco_91,_Icountryco_92,_Icountryco_93,_Icountryco_94,_Icountryco_95,_Icountryco_96,_Icountryco_97,_Icountryco_98,_Icountryco_99,_Icountryco_100,_Icountryco_101,_Icountryco_102,_Icountryco_103,_Icountryco_104,_Icountryco_105,_Icountryco_106,_Icountryco_107,_Icountryco_108,_Icountryco_109,_Icountryco_110,_Icountryco_111,_Icountryco_112,_Icountryco_113,_Icountryco_114,_Icountryco_115,_Icountryco_116,_Icountryco_117,_Icountryco_118,_Icountryco_119,_Icountryco_120,_Icountryco_121,_Icountryco_122,_Icountryco_123,_Icountryco_124,_Icountryco_125,_Icountryco_126,_Icountryco_127,_Icountryco_128,_Icountryco_129,_Icountryco_130,_Icountryco_131,_Icountryco_132,_Icountryco_133,_Icountryco_134,_Icountryco_135,_Icountryco_136,_Icountryco_137,_Icountryco_138,_Icountryco_139,_Icountryco_140,_Icountryco_141,_Icountryco_142,_Icountryco_143,_Icountryco_144,_Icountryco_145,_Icountryco_146,_Icountryco_147,_Icountryco_148,_Icountryco_149,_Icountryco_150,_Icountryco_151,_Icountryco_152,_Icountryco_153,_Icountryco_154,_Icountryco_155,_Icountryco_156,_Icountryco_157,_Icountryco_158,_Icountryco_159,_Icountryco_160,_Icountryco_161,_Icountryco_162,_Icountryco_163,_Icountryco_164,_Icountryco_165,_Icountryco_166,_Icountryco_167,_Icountryco_168,_Icountryco_169,_Icountryco_170,_Icountryco_171,_Icountryco_172,_Icountryco_173,_Icountryco_174,_Icountryco_175,_Icountryco_176,_Icountryco_177,_Icountryco_178,_Icountryco_179,_Icountryco_180,_Icountryco_181,_Icountryco_182,_Icountryco_183,_Icountryco_184,_Iyear_1993,_Iyear_1994,_Iyear_1995,_Iyear_1996,_Iyear_1997,_Iyear_1998,_Iyear_1999,_Iyear_2000,_Iyear_2001,_Iyear_2002,_Iyear_2003,_Iyear_2004,_Iyear_2005,_Iyear_2006,_Iyear_2007,_Iyear_2008,_Iyear_2009,_Iyear_2010,_Iyear_2011,_Iyear_2012,_Iyear_2013
AFG,Afghanistan,2002,25.946161,-3.1316476,5,25,0,0,1,-15.658237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,2003,26.027225,-3.0509334,5,25,0,0,1,-15.254667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,2004,26.037725,-2.5884616,4.5,20.25,0,0,1,-11.648077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,2005,26.143663,-2.3812006,4,16,0,0,1,-9.5248022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AFG,Afghanistan,2006,26.197718,-2.3668916,4,16,0,0,1,-9.4675665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AFG,Afghanistan,2007,26.326464,-2.3078375,4,16,0,0,1,-9.2313499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFG,Afghanistan,2008,26.36194,-2.3422456,4.5,20.25,0,0,1,-10.540105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AFG,Afghanistan,2009,26.552732,-2.2538278,5,25,0,0,1,-11.269139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AFG,Afghanistan,2010,26.633698,-1.6550907,5,25,0,0,1,-8.2754536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AFG,Afghanistan,2011,26.693037,-1.7559271,5,25,0,0,1,-8.7796354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
